param,name,side
p_214994_0_,pathIn,2
p_214995_0_,pathIn,2
p_237371_1_,dataPacksNBT,2
p_237373_1_,worldSettingsNBT,2
p_229671_0_,byteIn,2
p_235938_1_,defaultIn,2
p_243223_1_,doubleIn,2
p_200404_1_,consumer2,2
p_208310_1_,cache2,2
p_208311_1_,cache2,2
p_i230061_3_,isSideLit2,2
p_243602_3_,codec2,2
p_244416_1_,percentage2,2
p_234864_0_,e,2
p_234863_0_,e,2
p_230439_2_,styleIn,2
p_213701_3_,player2,2
p_243633_1_,codec2,2
p_242955_3_,directionIn,2
p_219410_0_,chunkPos2,2
p_243494_2_,pos2,2
p_229868_1_,path2,2
p_229866_2_,path2,2
p_241466_2_,directionIn,2
p_213067_1_,button2,2
p_213068_1_,button2,2
p_219160_1_,pos2,2
p_219561_2_,resourceManager2,2
